StateName,Clinton,Drumpf,Others,NonTrump,StateCode
Alabama,729547,1318255,75570,805117,AL
Alaska,116454,163387,38767,155221,AK
Arizona,1161167,1252401,159597,1320764,AZ
Arkansas,380494,684872,65269,445763,AR
California,8753788,4483810,943997,9697785,CA
Colorado,1338870,1202484,238866,1577736,CO
Connecticut,897572,673215,74133,971705,CT
Delaware,235603,185127,20860,256463,DE
District of Columbia,282830,12723,15715,298545,DC
Florida,4504975,4617886,297178,4802153,FL
Georgia,1877963,2089104,125306,2003269,GA
Hawaii,266891,128847,33199,300090,HI
Idaho,189765,409055,91435,281200,ID
Illinois,3090729,2146015,299680,3390409,IL
Indiana,1033126,1557286,144546,1177672,IN
Iowa,653669,800983,111379,765048,IA
Kansas,427005,671018,86379,513384,KS
Kentucky,628854,1202971,92324,721178,KY
Louisiana,780154,1178638,70240,850394,LA
Maine,357735,335593,54599,412334,ME
Maryland,1677928,943169,160349,1838277,MD
Massachusetts,1995196,1090893,238957,2234153,MA
Michigan,2268839,2279543,250902,2519741,MI
Minnesota,1367716,1322951,254146,1621862,MN
Mississippi,485131,700714,23512,508643,MS
Missouri,1071068,1594511,143026,1214094,MO
Montana,177709,279240,40198,217907,MT
Nebraska,284494,495961,63772,348266,NE
Nevada,539260,512058,74067,613327,NV
New Hampshire,348526,345790,49842,398368,NH
New Jersey,2148278,1601933,123835,2272113,NJ
New Mexico,385234,319666,93418,478652,NM
New York,4547562,2814589,348562,4896124,NY
North Carolina,2189316,2362631,189617,2378933,NC
North Dakota,93758,216794,33808,127566,ND
Ohio,2394164,2841005,261318,2655482,OH
Oklahoma,420375,949136,83481,503856,OK
Oregon,1002106,782403,216827,1218933,OR
Pennsylvania,2926441,2970733,218228,3144669,PA
Rhode Island,252525,180543,31076,283601,RI
South Carolina,855373,1155389,92265,947638,SC
South Dakota,117458,227721,24914,142372,SD
Tennessee,870695,1522925,114407,985102,TN
Texas,3877868,4685047,406311,4284179,TX
Utah,310676,515231,305523,616199,UT
Vermont,178573,95369,41125,219698,VT
Virginia,1981473,1769443,231836,2213309,VA
Washington,1742718,1221747,401179,2143897,WA
West Virginia,188794,489371,34886,223680,WV
Wisconsin,1382536,1405284,188330,1570866,WI
Wyoming,55973,174419,25457,81430,WY
